Name;Date;Type;Comment;;;
COP 21;30/11/2015;1;;;;
COP 22;7/11/2016;1;;;;
COP 23;6/11/2017;1;;;;
COP 24;2/12/2018;1;;;;
COP 25;2/12/2019;1;;;;
G20 2016;5/9/16;1;;;;
G20 2017;7/7/17;1;;;;
G20 2018;30/11/2018;1;;;;
G20 2019;28/06/2019;1;;;;
Primary elections 2016;24/04/2016 - 30/5/2016 ;2;Février à Juin 2016;;;
Presidential elections 2016;08/11/2016;2;Date du vote;;;
Primary elections 2020;01/03/2020;2;Février à Juin 2016;;;
Australia fires;19/01/2020;3;;;;
Amazonia fires;22/09/2019;3;;;;
Hotter December Month Record;11/12/2016;3;;;;
